"","unaligned","aligned_unmapped","mapped_to_exon","mapped_to_intron","ambiguous_mapping","mapped_to_ERCC","mapped_to_MT","number_of_genes","total_count_per_cell","non_mt_percent","non_ribo_percent","outliers","cell_line","cell_line_demuxlet","demuxlet_cls"
"CELL_000094",30073,4190,65590,39765,1756,0,3541,5941,21921,0.840016422225256,0.892978927522044,"FALSE","HCC827","HCC827","SNG"
"CELL_000095",34749,3020,85914,14687,2276,0,1778,6421,28613,0.841645405640218,0.88204631389707,"FALSE","HCC827","HCC827","SNG"
"CELL_000096",33473,2026,89359,9301,2479,0,3203,6625,28349,0.84045292573267,0.895445731614614,"FALSE","H1975","H1975","SNG"
"CELL_000097",28455,3741,65228,40121,1513,0,4525,5773,20233,0.853753768173897,0.939010063258013,"FALSE","H2228","H2228","SNG"
"CELL_000098",36647,1980,89364,9522,2483,0,3017,6289,29697,0.827019563987265,0.869616166745406,"FALSE","HCC827","HCC827","SNG"
"CELL_000099",28226,2118,87324,16777,2095,0,1946,6276,27023,0.867594271225403,0.925211514187354,"FALSE","H2228","H2228","SNG"
"CELL_000100",31630,2869,79454,18862,2249,0,2582,5989,24376,0.842344929093229,0.877912340863004,"FALSE","HCC827","HCC827","SNG"
"CELL_000101",27444,2702,78366,23922,1809,0,2176,5853,23198,0.851021639429683,0.915854420271394,"FALSE","H2228","H2228","SNG"
"CELL_000102",32796,2341,84614,12397,2413,0,3046,5812,26724,0.832547522514389,0.876440324636909,"FALSE","HCC827","HCC827","SNG"
"CELL_000103",30241,2825,70895,27875,1683,0,1779,6020,22323,0.864220758471433,0.918379734632561,"FALSE","H2228","H2228","SNG"
"CELL_000104",32563,2272,83398,12722,2378,0,2490,6192,27805,0.831217406642252,0.876280929228222,"FALSE","HCC827","HCC827","SNG"
"CELL_000105",32768,2529,80965,14746,2022,0,1804,5754,25276,0.841430605775664,0.88332770876416,"FALSE","HCC827","HCC827","SNG"
"CELL_000106",28101,3278,65954,34357,1670,0,2563,5678,21047,0.850715065876032,0.910485622423328,"FALSE","H2228","H2228","SNG"
"CELL_000108",30109,2750,72530,23755,2066,0,3025,5638,22360,0.836359570287853,0.893783142315232,"FALSE","HCC827","HCC827","SNG"
"CELL_000109",28333,2877,77532,19133,2056,0,3405,6016,23905,0.850658857623652,0.907215684076267,"FALSE","H2228","H2228","SNG"
"CELL_000110",29520,1657,83297,11260,2513,0,1918,6078,25492,0.834300956835752,0.893848700043661,"FALSE","H1975","H1975","SNG"
"CELL_000111",29815,2363,81711,13506,2198,0,4251,6007,26496,0.83261624364711,0.906740297878813,"FALSE","HCC827","HCC827","SNG"
"CELL_000112",29722,2535,74230,19366,2034,0,4314,5632,22951,0.838917693852591,0.895821142511811,"FALSE","HCC827","HCC827","SNG"
"CELL_000113",30074,2547,73320,19007,2010,0,2737,5792,23508,0.844733707314644,0.887144424389814,"FALSE","HCC827","HCC827","SNG"
"CELL_000114",26452,3584,72493,24665,1864,0,2980,5556,21623,0.853720574918503,0.924663125069082,"FALSE","H2228","H2228","SNG"
"CELL_000115",26633,4146,56099,41041,1399,0,2558,5289,17412,0.873822650543405,0.919939742740786,"FALSE","HCC827","HCC827","SNG"
"CELL_000116",28764,2041,72664,20958,2047,0,2771,5696,21796,0.854927509242555,0.906358549110594,"FALSE","H1975","H1975","SNG"
"CELL_000117",28887,1775,83526,7745,2574,0,2929,6210,26464,0.834945586141571,0.90107281549546,"FALSE","H1975","H1975","SNG"
"CELL_000118",25866,2803,65061,29205,1849,0,2488,5471,19705,0.848870844532418,0.924840941466155,"FALSE","H2228","H2228","SNG"
"CELL_000119",31917,2250,72564,15982,2089,0,4213,5497,23137,0.829061675744884,0.858365017778875,"FALSE","HCC827","HCC827","SNG"
"CELL_000120",27750,1951,72276,21101,1933,0,3285,5657,21688,0.849917004403395,0.898929869545431,"FALSE","H1975","H1975","SNG"
"CELL_000121",27180,1932,81971,11222,2217,0,1895,6156,26291,0.844205241016239,0.922786914614539,"FALSE","H2228","H2228","SNG"
"CELL_000122",27707,2421,67717,25599,1786,0,2584,5598,19788,0.842076005234447,0.901909792849306,"FALSE","H1975","H1975","SNG"
"CELL_000123",25525,2610,65150,27521,1607,0,1938,5790,20141,0.855071743778823,0.92537563905683,"FALSE","H2228","H2228","SNG"
"CELL_000124",27698,1995,71395,19402,2053,0,3586,5803,22811,0.831879356086152,0.909779970286278,"FALSE","H1975","H1975","SNG"
"CELL_000125",27265,2284,59887,30609,1505,0,1847,5340,19058,0.848567530250516,0.904449100404502,"FALSE","H2228","H2228","SNG"
"CELL_000126",24904,2093,75141,15935,1834,0,1475,5980,22830,0.864038545394639,0.919403889880031,"FALSE","H2228","H2228","SNG"
"CELL_000127",29372,1491,75194,10316,2454,0,3968,5769,24085,0.819389661274906,0.869005244340775,"FALSE","H1975","H1975","SNG"
"CELL_000128",25017,1792,74585,17502,1966,0,1651,5861,23534,0.851236508519063,0.918967910696052,"FALSE","H2228","H2228","SNG"
"CELL_000129",26341,2093,74805,13551,2151,0,3617,6050,24344,0.837167268798403,0.90601342999777,"FALSE","H1975","H1975","SNG"
"CELL_000130",28232,2196,64582,17989,1752,0,2259,5340,20588,0.843355352222967,0.882601086749035,"FALSE","HCC827","HCC827","SNG"
"CELL_000131",25271,1982,68686,15693,1975,0,1569,5630,20807,0.849810159633868,0.903012974954114,"FALSE","H2228","H2228","SNG"
"CELL_000132",22697,2039,70244,18005,1670,0,2496,5575,21096,0.861585134214266,0.933873277458628,"FALSE","H2228","H2228","SNG"
"CELL_000133",26565,2307,69879,13130,2089,0,3091,5465,21134,0.84844326637246,0.888804349009014,"FALSE","HCC827","HCC827","SNG"
"CELL_000134",25135,2555,64394,17605,1646,0,3173,5202,19180,0.844421271718237,0.889936970835782,"FALSE","HCC827","HCC827","SNG"
"CELL_000135",25817,2883,67279,16870,1793,0,2360,5467,20150,0.856178659624725,0.905061585577377,"FALSE","HCC827","HCC827","SNG"
"CELL_000136",27465,1762,72711,7792,2088,0,1253,5713,23500,0.854851063466021,0.879701753318403,"FALSE","H1975","H1975","SNG"
"CELL_000137",28769,1775,73452,5752,1842,0,1843,5775,24686,0.838288908353606,0.859920254427508,"FALSE","HCC827","HCC827","SNG"
"CELL_000138",27275,2134,68658,10980,1710,0,1153,5842,23166,0.84097384061082,0.887938837978573,"FALSE","H2228","H2228","SNG"
"CELL_000139",27262,1626,63786,14308,1930,0,2333,5539,19997,0.839825973476108,0.880931699289044,"FALSE","H1975","H1975","SNG"
"CELL_000140",23752,2448,61372,21303,1511,0,2032,5432,19203,0.849294380644017,0.911211315309423,"FALSE","H2228","H2228","SNG"
"CELL_000141",26728,1912,62628,14434,1736,0,1291,5447,19774,0.839132193365464,0.887933201207039,"FALSE","H1975","H1975","SNG"
"CELL_000142",28415,1948,62568,12260,1718,0,2180,5372,20952,0.828321878184268,0.869892673781656,"FALSE","H1975","H1975","SNG"
"CELL_000143",25390,1996,62989,13860,1791,0,2739,5376,20946,0.833428816559998,0.894394684238191,"FALSE","HCC827","HCC827","SNG"
"CELL_000145",24268,2314,64406,14964,1784,0,3281,5635,20397,0.843849585309678,0.90150468132339,"FALSE","H1975","H1975","SNG"
"CELL_000146",23729,1662,63503,14315,1856,0,3711,5671,20684,0.829723457343974,0.894797478825431,"FALSE","H1975","H1975","SNG"
"CELL_000147",23385,1692,61051,16319,1707,0,2039,5398,18625,0.84842952974581,0.89143576298751,"FALSE","H1975","H1975","SNG"
"CELL_000148",24713,2252,64144,12345,1875,0,1526,5738,20780,0.840567853300978,0.904956253630292,"FALSE","H1975","H1975","SNG"
"CELL_000149",23778,1429,67493,9742,2100,0,2402,5325,20673,0.832535190425901,0.891403815893283,"FALSE","H1975","H1975","SNG"
"CELL_000150",22740,2247,63898,13868,1604,0,1488,5322,19868,0.855194281832497,0.914334148211119,"FALSE","H2228","H2228","SNG"
"CELL_000151",23151,1662,64347,12960,1741,0,2395,5326,19622,0.866476403594702,0.90158959250352,"FALSE","H1975","H1975","SNG"
"CELL_000152",24288,1668,70498,6143,1994,0,2543,6191,26762,0.844555713009283,0.904640570719464,"FALSE","H1975","H1975","SNG"
"CELL_000153",23799,1935,57654,17562,1490,0,3318,5170,18101,0.835920666904635,0.901993866640591,"FALSE","HCC827","HCC827","SNG"
"CELL_000154",26549,1668,65936,5826,1946,0,1409,5125,22249,0.851004539147375,0.869162268343625,"FALSE","HCC827","HCC827","SNG"
"CELL_000155",20619,2375,44660,21908,1112,0,3064,4307,13553,0.853611745846963,0.896479822563401,"FALSE","HCC827","HCC827","SNG"
"CELL_000156",22669,1648,64661,9740,1697,0,1876,5499,20076,0.845287905536318,0.908298013400073,"FALSE","H2228","H2228","SNG"
"CELL_000157",20154,1743,59240,18664,1346,0,1223,5128,17535,0.878300541272711,0.940917627078627,"FALSE","H2228","H2228","SNG"
"CELL_000158",21066,2488,47795,26978,1178,0,1081,5200,15629,0.879902744334313,0.930001324460091,"FALSE","H1975","H1975","SNG"
"CELL_000159",22174,2181,58438,15586,1779,0,2389,5282,17758,0.83973420382941,0.898749353108823,"FALSE","H1975","H1975","SNG"
"CELL_000160",20238,2902,47253,26055,1270,0,3669,4905,14713,0.853530890468612,0.917759180480405,"FALSE","H1975","H1975","SNG"
"CELL_000161",21804,1915,59843,12586,1279,0,2974,5247,18055,0.857546385567684,0.911215225026184,"FALSE","HCC827","HCC827","SNG"
"CELL_000162",23316,1831,61219,9916,1582,0,3278,5113,19961,0.830118731110606,0.875556898172988,"FALSE","HCC827","HCC827","SNG"
"CELL_000163",20198,2043,53940,18360,1359,0,1357,4946,16593,0.860302536696015,0.914481459361502,"FALSE","H2228","H2228","SNG"
"CELL_000164",21552,1789,58527,14112,1701,0,1408,5531,18943,0.846275668665852,0.899698622341434,"FALSE","H1975","H1975","SNG"
"CELL_000165",20625,1669,61940,9800,1616,0,1342,5486,19191,0.851284455811951,0.926996546820621,"FALSE","H2228","H2228","SNG"
"CELL_000166",19790,2111,41592,29696,1047,0,852,4637,13419,0.855503390077127,0.912213345097738,"FALSE","HCC827","HCC827","SNG"
"CELL_000167",18249,3261,39459,30953,952,0,1799,4462,11830,0.846407437999656,0.940658545512641,"FALSE","H2228","H2228","SNG"
"CELL_000168",20549,2530,49177,21671,1186,0,2336,5021,14877,0.881024399488456,0.926395828193972,"FALSE","H1975","H1975","DBL"
"CELL_000169",19866,1672,52472,19040,1431,0,1647,4895,15965,0.853930472374613,0.925398731350622,"FALSE","H2228","H2228","SNG"
"CELL_000170",19858,2543,44977,24274,947,0,2307,5215,14600,0.879931506246622,0.932533607853693,"FALSE","H1975","H2228","DBL"
"CELL_000171",21234,2387,54683,12970,1648,0,1626,5186,17255,0.844914517041487,0.896261433635796,"FALSE","H1975","H1975","SNG"
"CELL_000172",18597,1781,49028,17158,1178,0,2422,4355,14710,0.846295036814211,0.906117670892134,"FALSE","H2228","H2228","SNG"
"CELL_000173",17602,2075,43380,26275,961,0,2189,4287,13088,0.874083128916501,0.928406992354071,"FALSE","H1975","H1975","SNG"
"CELL_000174",17831,3549,37324,28827,902,0,1557,4288,11428,0.8835316758107,0.941546253459701,"FALSE","H2228","H2228","SNG"
"CELL_000175",19778,1660,53894,12628,1639,0,2023,5004,16625,0.836210525812806,0.906225018812019,"FALSE","H1975","H1975","SNG"
"CELL_000176",17503,1399,56367,10658,1572,0,2333,5104,18049,0.852678818298699,0.924316624568328,"FALSE","H2228","H2228","SNG"
"CELL_000177",17495,2476,41898,24972,846,0,3567,4618,12480,0.89407051210411,0.937499248798679,"FALSE","H1975","H1975","DBL"
"CELL_000178",22189,1388,53083,9249,1479,0,2263,4709,17364,0.83477309327645,0.881881546946817,"FALSE","HCC827","HCC827","SNG"
"CELL_000179",17859,2025,40739,23993,936,0,1812,4498,12498,0.863898223024565,0.909904856853211,"FALSE","HCC827","HCC827","DBL"
"CELL_000180",18303,1926,49381,16411,1141,0,2521,4920,15737,0.852068373354471,0.926605498757388,"FALSE","H2228","H2228","SNG"
"CELL_000182",20147,1578,53656,11148,1367,0,1034,5009,16413,0.8503625169985,0.900992566262983,"FALSE","H2228","H2228","SNG"
"CELL_000183",20090,1648,44653,17937,1234,0,1656,4639,14482,0.859549785347639,0.912925760995884,"FALSE","H2228","H2228","SNG"
"CELL_000184",19557,1343,55135,6935,1569,0,1882,5172,17785,0.840764688872216,0.897047569835496,"FALSE","H2228","H2228","SNG"
"CELL_000185",18799,1850,45889,15322,1092,0,1285,4389,13884,0.85285220336153,0.898155504065468,"FALSE","H2228","H2228","SNG"
"CELL_000186",17379,1738,40754,23100,923,0,1288,4390,12638,0.87553410280461,0.931871394309705,"FALSE","H2228","H2228","SNG"
"CELL_000187",19205,1599,43763,16520,1334,0,2409,4525,13679,0.84150888161305,0.897360262182716,"FALSE","H1975","H1975","SNG"
"CELL_000188",19736,1457,51563,7013,1603,0,1126,4753,16551,0.834451090064376,0.880127557170227,"FALSE","HCC827","HCC827","SNG"
"CELL_000189",17785,1388,49966,9959,1219,0,681,4849,15535,0.865593819848346,0.925200563115183,"FALSE","H2228","H2228","SNG"
"CELL_000190",17361,1171,47617,13508,1300,0,2706,4920,15304,0.83233141607924,0.914074154420966,"FALSE","H1975","H1975","SNG"
"CELL_000191",21056,986,50119,4901,1455,0,999,4762,17017,0.843274372190589,0.884938070789169,"FALSE","H1975","H1975","SNG"
"CELL_000192",19174,1120,47232,9155,1339,0,1542,4711,14937,0.839526008676758,0.877150112371887,"FALSE","H1975","H1975","SNG"
"CELL_000193",17901,1830,43574,12964,1272,0,1145,4311,12855,0.839595487483784,0.885880291030501,"FALSE","HCC827","HCC827","SNG"
"CELL_000194",19464,1488,49487,5895,1403,0,1600,5018,17004,0.827628792738398,0.888496301754704,"FALSE","HCC827","HCC827","SNG"
"CELL_000195",18426,1376,49432,9604,1412,0,1723,4831,14717,0.850241217061737,0.906570016599839,"FALSE","H1975","H1975","SNG"
"CELL_000196",17278,1333,50074,5464,1284,0,1503,4735,15940,0.851066498838729,0.919886499443852,"FALSE","H2228","H2228","SNG"
"CELL_000197",17563,2003,41423,14887,1094,0,2061,4746,13262,0.874830341671821,0.918789836533075,"FALSE","H1975","H2228","DBL"
"CELL_000198",18193,1380,48572,6828,1217,0,1410,4701,15476,0.835487205456522,0.898875097651139,"FALSE","H2228","H2228","SNG"
"CELL_000199",17589,1237,46063,8821,1340,0,1422,4609,14471,0.836777001702179,0.881486503015339,"FALSE","H1975","H1975","SNG"
"CELL_000200",17921,1001,50114,4999,1311,0,1205,4969,16194,0.826849449903143,0.87902872728867,"FALSE","H1975","H1975","SNG"
"CELL_000201",16078,1075,50549,6314,1269,0,1505,4807,15933,0.861419694432047,0.931838993385431,"FALSE","H2228","H2228","SNG"
