"","unaligned","aligned_unmapped","mapped_to_exon","mapped_to_intron","ambiguous_mapping","mapped_to_ERCC","mapped_to_MT","number_of_genes","total_count_per_cell","non_ERCC_percent","non_mt_percent","non_ribo_percent","outliers","cell_line","cell_line_demuxlet","demuxlet_cls"
"A4",53985,4679,106734,19904,3268,598,30738,6308,29266,0.994020364588936,0.808925032184472,0.895885704952605,"FALSE","H1975","H1975","SNG"
"A5",60874,3411,91084,14258,2582,483,23262,6058,26120,0.994295558577988,0.807120979782879,0.898889395524734,"FALSE","H1975","H1975","SNG"
"A6",105350,11236,214921,55299,5811,731,19120,8760,56471,0.996352109756096,0.856156257042348,0.89334332784202,"FALSE","HCC827","HCC827","SNG"
"A7",132016,17164,251961,87385,6853,512,26427,9445,68777,0.99755732279722,0.839423062820503,0.906741947636281,"FALSE","HCC827","HCC827","SNG"
"A8",101063,10940,159125,39959,4312,749,31579,8205,44727,0.995058912738377,0.82929773943495,0.913296015092446,"FALSE","H1975","H1975","SNG"
"B1",82449,11252,109767,54922,2526,562,22406,6827,29495,0.994304119005152,0.848550601509222,0.921918656749057,"FALSE","H1975","H1975","SNG"
"B10",88887,11953,175111,73748,4692,516,42768,7783,48553,0.996272114803149,0.805573290876862,0.912260640483463,"FALSE","HCC827","HCC827","SNG"
"B11",48223,6866,90880,30810,2374,821,1137,6748,26921,0.99164221203089,0.864343820487967,0.888599647635806,"FALSE","HCC827","HCC827","SNG"
"B12",82808,10495,155595,65070,3626,433,2277,8698,47638,0.996662328184084,0.868214450466389,0.916767933841065,"FALSE","HCC827","HCC827","SNG"
"B13",89717,8245,147474,32518,4101,769,4084,8498,44098,0.995305909339356,0.856705519330422,0.906049955542211,"FALSE","H1975","H1975","SNG"
"B14",81293,9294,147753,46809,3625,551,5629,8081,43070,0.996029718830734,0.858462967063278,0.898815672436575,"FALSE","HCC827","HCC827","SNG"
"B16",94416,7923,140172,40061,4073,435,6954,8500,43933,0.996790567228099,0.858489062695812,0.89554528587957,"FALSE","H1975","H1975","SNG"
"B17",81089,7730,118417,38513,2573,668,13191,6999,33310,0.994386069950649,0.863704592955958,0.936715419779219,"FALSE","H2228","H2228","SNG"
"B18",79038,9190,144612,51866,3697,685,5206,8136,43450,0.995189873188679,0.868147295542429,0.918664920905657,"FALSE","H2228","H2228","SNG"
"B19",62298,5435,126412,18459,3786,556,4158,7810,39346,0.995450617344724,0.851649468598676,0.898998399075281,"FALSE","H1975","H1975","SNG"
"B2",113403,11472,160024,71249,4123,502,3745,8363,46198,0.996753105979317,0.866098099297351,0.895384887790621,"FALSE","HCC827","HCC827","SNG"
"B20",78031,9197,112000,36226,3223,552,3533,7566,33316,0.995017408754047,0.858926641595952,0.908992403352022,"FALSE","H1975","H1975","SNG"
"B21",84558,7440,95801,36732,2563,662,2349,6813,28275,0.993138814856538,0.871971706146075,0.910627440980569,"FALSE","H2228","H2228","SNG"
"B22",83797,9453,139152,32308,3292,498,6087,8211,40883,0.996551133479306,0.867597778815743,0.92813616218571,"FALSE","H2228","H2228","SNG"
"B24",229128,14877,276023,38603,7553,349,38688,9822,76401,0.998246096124626,0.844779518482117,0.893705462794275,"FALSE","H1975","H1975","SNG"
"B3",137962,9734,180226,45565,4654,588,43179,8355,50536,0.996042425004741,0.829844071388744,0.913249779711536,"FALSE","HCC827","HCC827","SNG"
"B4",94981,11993,155625,68024,4042,607,10461,8417,43314,0.996075171769849,0.852980560360858,0.923396379139221,"FALSE","H2228","H2228","SNG"
"B5",105134,11238,184875,43785,4794,642,15099,8564,52107,0.996161743912303,0.852188765261445,0.89863148931401,"FALSE","HCC827","HCC827","SNG"
"B7",54559,5684,107501,32794,2487,293,30098,6703,33372,0.996494066583814,0.803188301329501,0.913430147000435,"FALSE","HCC827","HCC827","SNG"
"B8",73216,6544,131623,26886,3671,412,20711,7502,36010,0.996028880589828,0.841655095572992,0.916661783765125,"FALSE","H1975","H1975","SNG"
"B9",96284,11671,200360,48045,5108,469,19780,8829,56537,0.997417620143018,0.853653359595724,0.904664042191124,"FALSE","HCC827","HCC827","SNG"
"C10",197064,18008,316907,49653,9043,852,66721,9996,78745,0.996926788875874,0.826846148856836,0.904539855922299,"FALSE","H1975","H1975","SNG"
"C11",105581,9088,182444,35480,4417,829,33791,8233,48519,0.9953420307518,0.84507100293801,0.929223411607121,"FALSE","H2228","H2228","SNG"
"C12",120589,12060,241437,41740,5979,1101,7360,9310,66948,0.995190296798233,0.857127920048825,0.895889213137179,"FALSE","HCC827","HCC827","SNG"
"C13",78421,8315,124570,40824,3318,733,4822,7926,37840,0.994212473310197,0.865829809496345,0.909487074659864,"FALSE","H2228","H2228","SNG"
"C14",175970,17202,262848,65310,7202,709,40235,10041,73628,0.997107078693281,0.839381756826291,0.914882800716738,"FALSE","H1975","H1975","SNG"
"C15",65125,6481,114123,28631,3540,765,3186,7523,32961,0.992840022756336,0.860441127131931,0.893237191457422,"FALSE","H1975","H1975","SNG"
"C16",169426,15867,328651,72393,8671,681,92595,9682,81048,0.997680386808104,0.8134932384743,0.918258202761548,"FALSE","HCC827","HCC827","SNG"
"C17",103883,10745,162715,54151,3992,779,6300,8811,48883,0.995172145532154,0.870282101984272,0.924349789425815,"FALSE","H2228","H2228","SNG"
"C18",60228,6851,122263,22089,3507,624,2531,7818,36273,0.99476194387154,0.863645135262138,0.905190939489168,"FALSE","H1975","H1975","SNG"
"C19",126723,12160,185331,53226,4380,734,23296,8565,51781,0.996350012360451,0.85033120240043,0.930630746677208,"FALSE","H2228","H2228","SNG"
"C21",121528,11063,257152,38292,5417,743,65203,8817,59821,0.996272211932888,0.849801908886544,0.94414988981296,"FALSE","H2228","H2228","SNG"
"C22",133429,13743,217712,72256,5064,704,11493,9266,61064,0.996479103727814,0.866860998154909,0.9254223559835,"FALSE","H2228","H2228","SNG"
"C23",139505,14935,234725,30953,6527,842,48630,9126,62536,0.996082256460905,0.833375975304884,0.924331437199143,"FALSE","H1975","H1975","SNG"
"C24",100241,9610,202974,53663,4666,973,4382,8809,55578,0.995087984275237,0.862967361030809,0.90399062506916,"FALSE","HCC827","HCC827","SNG"
"C6",122597,9705,185263,37232,5840,1413,24679,8541,51605,0.992268190874476,0.820133707815108,0.890591824320933,"FALSE","H1975","H1975","SNG"
"C8",85815,9595,154910,34049,3760,1013,26235,7831,41432,0.993121258690596,0.84432322821869,0.92998143223078,"FALSE","H2228","H2228","SNG"
"D1",79408,6889,155333,25719,3910,652,17740,7719,41999,0.995666563252538,0.849305935653395,0.916712084403894,"FALSE","H2228","H2228","SNG"
"D10",87133,11735,130102,51238,2954,529,7775,8118,38408,0.99541762106972,0.868516975403948,0.932435708072353,"FALSE","H2228","H2228","SNG"
"D11",44547,5353,74065,21040,1598,368,1988,6549,24026,0.994963788814216,0.873803379308331,0.938316432899179,"FALSE","H2228","H2228","SNG"
"D14",61074,7837,92092,29972,2734,600,11139,6686,26483,0.994260468604667,0.843786579751619,0.913831169493196,"FALSE","H1975","H1975","SNG"
"D15",51487,5955,75226,27355,1857,443,1785,6660,24161,0.993708869254704,0.878109349415128,0.925375222310657,"FALSE","H2228","H2228","SNG"
"D16",69855,6556,84373,26779,2417,563,3591,6885,26838,0.993106788511399,0.856211341807806,0.912660812034871,"FALSE","H1975","H1975","SNG"
"D17",73192,8680,121323,37694,3470,740,31867,6813,31395,0.992801401180824,0.814397196746489,0.921706984645012,"FALSE","H1975","H1975","SNG"
"D18",162728,15368,361357,47641,9231,698,55369,10613,97275,0.997707530095327,0.845047545531221,0.9283062525514,"FALSE","H2228","H2228","SNG"
"D19",68076,8599,120307,44274,3327,336,34195,6737,31834,0.996293271032138,0.821543004076917,0.915467451320145,"FALSE","HCC827","HCC827","SNG"
"D2",83538,7946,156770,23521,3359,640,3929,8330,45791,0.996090934682341,0.877443165495961,0.929374565007411,"FALSE","H2228","H2228","SNG"
"D20",61462,6455,117937,16347,3437,440,13395,7399,33558,0.995828118184687,0.842839263113761,0.904106053964463,"FALSE","H1975","H1975","SNG"
"D21",78219,8197,144995,37874,3691,550,8885,7795,41603,0.995697425427085,0.854794125218183,0.900607912744775,"FALSE","HCC827","HCC827","SNG"
"D22",81335,7385,135000,30455,3215,482,27588,7691,40128,0.996062599432799,0.83452950537417,0.933163643051325,"FALSE","H2228","H2228","SNG"
"D3",137303,9826,245517,32333,5947,567,54417,8949,62005,0.997467945972507,0.845173776172055,0.939037022976047,"FALSE","H2228","H2228","SNG"
"D4",116863,11727,222091,35707,6458,705,7636,9379,63135,0.996800506692516,0.850906786908861,0.894004768511164,"FALSE","H1975","H1975","SNG"
"D5",103021,14036,177705,62854,4248,669,12598,8866,51866,0.995989665484905,0.857035437308249,0.910114350419475,"FALSE","HCC827","HCC827","SNG"
"D6",78649,7575,104612,27349,3210,633,14060,7258,32019,0.99390986570664,0.84983915773452,0.908772632258149,"FALSE","H1975","H1975","DBL"
"D7",78992,9611,120448,43085,3235,701,6179,7401,34341,0.994350775750749,0.860633062269406,0.905739231315561,"FALSE","HCC827","HCC827","SNG"
"D8",56262,5323,102309,15416,3010,575,3880,6752,30140,0.993928334109513,0.865726608870031,0.901890875285045,"FALSE","H1975","H1975","SNG"
"D9",176151,18904,268890,79935,7692,631,61327,10107,68277,0.997261156612437,0.832505821750735,0.914978555739333,"FALSE","H1975","H1975","SNG"
"E11",79181,8122,144044,40067,4288,445,6514,8410,44934,0.996795299551165,0.844661058253291,0.886500003004406,"FALSE","H1975","H1975","SNG"
"E12",81230,5859,182551,17013,4813,732,31921,8536,53196,0.995488382398021,0.841943003075054,0.916760486359785,"FALSE","H1975","H1975","SNG"
"E13",123024,15080,227414,74263,7298,639,28956,9668,63378,0.996796995645682,0.831187478173627,0.898103301129209,"FALSE","H1975","H1975","SNG"
"E14",115679,13480,164125,74301,4136,528,28675,8025,44824,0.995984293905947,0.838189362654339,0.93387450163428,"FALSE","H2228","H2228","SNG"
"E16",75185,8143,132602,48095,3008,666,12778,7716,37928,0.99462138763061,0.864295507049068,0.910593516506666,"FALSE","HCC827","HCC827","SNG"
"E17",67094,5421,146154,11851,3958,602,36294,7333,38510,0.99514411815239,0.823266683764407,0.916411083767571,"FALSE","H1975","H1975","SNG"
"E18",123928,14995,214799,61286,5463,637,8918,9359,60102,0.996589131643441,0.8690226613309,0.927057181615057,"FALSE","H2228","H2228","SNG"
"E19",106551,11614,167209,52310,4259,820,9322,8164,46357,0.994693357854328,0.850249153126766,0.891235219872895,"FALSE","HCC827","HCC827","SNG"
"E20",94482,4213,108809,14817,2794,326,24707,7580,39356,0.996518954925165,0.82564284967333,0.932233729994479,"FALSE","H2228","H2228","SNG"
"E22",100201,11999,174846,58232,3883,949,30136,8163,47966,0.994850518910301,0.841491889913378,0.918087620796476,"FALSE","H2228","H2228","SNG"
"E23",111573,10517,272090,53250,6916,630,22625,9695,75603,0.997433964128747,0.867928521240172,0.93342844418496,"FALSE","H2228","H2228","SNG"
"E24",121181,15032,217543,65083,5450,739,50136,8527,56366,0.996150161268114,0.831600610149452,0.934073566676087,"FALSE","H2228","H2228","SNG"
"E4",73270,6408,148461,22354,4486,545,18516,7903,46795,0.995939736938575,0.827609787193587,0.877315765078371,"FALSE","HCC827","HCC827","SNG"
"E5",89975,9673,210858,47342,6463,698,6361,9436,59737,0.996534810754384,0.853189815214492,0.903275875374412,"FALSE","H1975","H1975","SNG"
"E6",136976,12621,175108,50503,4894,614,38246,7972,46399,0.995754218626316,0.815858100214259,0.898057954253765,"FALSE","HCC827","HCC827","SNG"
"E8",82727,6404,120181,19807,2846,561,29892,6889,32761,0.995360336682226,0.81648911790956,0.926131398268857,"FALSE","H2228","H2228","SNG"
"E9",78155,8354,168523,43790,3997,683,8095,8591,50021,0.995621838628652,0.857199975838708,0.918813914393172,"FALSE","H2228","H2228","SNG"
"F1",53460,5557,92627,26604,2262,556,6873,6555,26166,0.99342658373713,0.87529618555557,0.917640863089176,"FALSE","H1975","H1975","SNG"
"F10",99204,13588,164055,51529,3824,545,15617,8364,41739,0.996286446489785,0.865545412955378,0.918157857601318,"FALSE","HCC827","HCC827","SNG"
"F11",77858,7029,164578,39404,3645,592,5000,8651,51268,0.996235468324055,0.872532573755065,0.908461241230155,"FALSE","HCC827","HCC827","SNG"
"F12",90801,6322,138818,11977,3304,623,29379,7284,34753,0.995137110178938,0.846948464637025,0.921934531713944,"FALSE","H2228","H2228","SNG"
"F13",85624,9242,157507,46295,3297,592,20287,8037,43083,0.995822017734182,0.864006684570711,0.933152070851131,"FALSE","H2228","H2228","SNG"
"F14",132680,11512,178756,60047,4922,443,44170,8287,42915,0.996807642782988,0.831480834013403,0.924361895756287,"FALSE","HCC827","HCC827","SNG"
"F17",111011,12943,165134,51803,4353,709,35395,7738,44379,0.995493363754142,0.828026769231387,0.91331465032681,"FALSE","HCC827","HCC827","SNG"
"F18",39813,2869,67360,6723,1606,762,11256,5258,18609,0.989467461449048,0.853672953488273,0.899080606652369,"FALSE","H1975","H1975","SNG"
"F19",70207,7276,115104,29841,3232,569,18293,7403,34925,0.994846098498254,0.837852540919727,0.893571684016697,"FALSE","H1975","H1975","SNG"
"F2",25859,4102,33554,22870,898,540,5940,3479,10055,0.984982594743926,0.826653405443408,0.928293457689251,"FALSE","HCC827","HCC827","DBL"
"F20",62533,7137,101789,35611,2812,572,21634,6663,25287,0.994068097839179,0.84094594026933,0.937872844594913,"FALSE","H1975","H1975","SNG"
"F21",71905,9804,107337,40603,2801,447,40302,6033,28048,0.994865943741134,0.81314175669811,0.910367616098254,"FALSE","HCC827","HCC827","DBL"
"F22",43663,5095,56846,10328,1886,371,13755,4728,15206,0.99335788439211,0.811258713132146,0.912139344903758,"FALSE","H1975","H1975","SNG"
"F23",61654,6265,135667,25528,3306,481,31026,6848,34697,0.995849784997017,0.836095339413755,0.922586701274836,"FALSE","H2228","H2228","SNG"
"F24",48753,6100,89836,31900,1999,613,3983,6845,26224,0.993136058193588,0.863788895338702,0.922093913173462,"FALSE","H2228","H2228","SNG"
"F3",142132,7792,122771,28179,3422,518,29992,6872,32896,0.995136186467918,0.833232003637758,0.910718351556921,"FALSE","H1975","H1975","SNG"
"F4",31528,2305,54727,6486,1722,448,18108,4257,14318,0.991409414030305,0.782511523409337,0.886715402489592,"FALSE","H1975","H1975","SNG"
"F5",44465,3033,65556,11912,1711,571,16865,5210,20109,0.990899596702521,0.813217961702114,0.924560682002744,"FALSE","H2228","H2228","SNG"
"F6",67974,3161,48706,12522,1422,383,2105,4818,14587,0.99266470076598,0.847946801365636,0.887159191636943,"FALSE","H1975","H1975","SNG"
"F7",156853,18601,312357,78574,8157,473,58890,9671,81197,0.997992536547164,0.840006404074041,0.920772821560794,"FALSE","HCC827","HCC827","SNG"
"F8",81117,10087,142558,47588,4175,411,23633,8233,37468,0.996850645618434,0.83452546150461,0.917075660009699,"FALSE","H1975","H1975","SNG"
"G10",46613,4965,81154,20314,2442,553,934,6043,24340,0.993467542730704,0.852259654538924,0.872103174978153,"FALSE","HCC827","HCC827","SNG"
"G11",24533,2565,40474,9820,1195,350,871,4273,13185,0.990443685255636,0.855593476787567,0.869851444936333,"FALSE","HCC827","HCC827","SNG"
"G12",68286,5863,115723,19633,3552,560,25264,6613,33324,0.994658504082745,0.816288560552068,0.889118686496613,"FALSE","HCC827","HCC827","SNG"
"G13",105270,10992,160756,26774,4287,532,37867,7556,42822,0.996053430247057,0.818784736626317,0.897785975016119,"FALSE","HCC827","HCC827","SNG"
"G14",66083,5455,94856,16166,2860,528,24734,6217,26019,0.994081247936477,0.810330911714389,0.915023284898234,"FALSE","H1975","H1975","SNG"
"G15",65592,4620,52899,10279,1754,439,19361,4481,15572,0.990945285775144,0.764449010554554,0.898406820956318,"FALSE","H1975","H1975","SNG"
"G16",156895,11551,178539,13246,5382,689,25793,8361,49973,0.995957817022,0.831849198400767,0.897964721356588,"FALSE","H1975","H1975","SNG"
"G17",43634,3442,75649,13645,1627,653,17405,5599,21114,0.990717059301545,0.835275172475478,0.929146097780573,"FALSE","H2228","H2228","SNG"
"G18",86170,7888,103715,15481,2493,662,21188,6505,29192,0.993183063512886,0.8397163603591,0.912955291533539,"FALSE","H2228","H2228","SNG"
"G19",77431,7944,91810,14036,2962,404,6417,6807,28725,0.994986944823329,0.835195822163552,0.881113705443445,"FALSE","H1975","H1975","SNG"
"G20",101829,10850,165666,61910,5669,539,16780,8424,46757,0.996449729239162,0.833522253174172,0.898688774153865,"FALSE","H1975","H1975","SNG"
"G21",90800,6105,107774,18896,3116,453,20149,6429,30675,0.994914425103532,0.828655256453576,0.888377868499472,"FALSE","HCC827","HCC827","SNG"
"G22",38113,3003,51430,5876,1677,597,10170,4601,15302,0.987321918058213,0.815122205714859,0.906155465850565,"FALSE","H1975","H1975","SNG"
"G23",107485,14622,158213,47190,4262,476,38394,8030,41389,0.996230882360958,0.832878300796618,0.909251030647991,"FALSE","H1975","H1975","SNG"
"G24",52178,4957,93458,20460,2313,823,1727,6441,26898,0.991040225670667,0.857312811042712,0.901033199110269,"FALSE","HCC827","HCC827","SNG"
"G6",32853,2665,52512,5444,1567,448,7810,4646,16970,0.991985856810851,0.823865644770851,0.851914642360258,"FALSE","HCC827","HCC827","SNG"
"G7",40723,4939,49561,29704,1562,393,4534,5294,16547,0.992204024299145,0.847887834140395,0.902882152122952,"FALSE","H1975","H1975","SNG"
"G8",53910,5801,72845,11345,1784,442,11441,5633,22630,0.993725143175552,0.823862129551983,0.91409592837122,"FALSE","H2228","H2228","SNG"
"G9",69897,5245,110596,8836,2945,526,23763,6651,31703,0.995237043498963,0.838311831423426,0.906317728190478,"FALSE","H1975","H1975","SNG"
"H1",67127,4796,68142,19282,1795,651,4875,5801,20787,0.991725597252261,0.852888824335936,0.914465331954908,"FALSE","H2228","H2228","SNG"
"H10",55754,5184,103050,24263,2798,445,2473,6521,30081,0.995412386225387,0.851268242129162,0.867490818958539,"FALSE","HCC827","HCC827","SNG"
"H11",56301,9019,89992,22107,3257,389,27103,5910,24660,0.995255474048964,0.759813462790019,0.897161031159355,"FALSE","H1975","H1975","SNG"
"H12",26647,2806,34398,12445,1004,430,1100,4201,11558,0.987714136539441,0.872123203952134,0.886484784145368,"FALSE","H1975","H1975","SNG"
"H13",36964,3757,52659,10905,1409,356,3345,5001,16565,0.992212495628003,0.846000603171747,0.894475765483993,"FALSE","H2228","H2228","SNG"
"H15",26224,2345,30883,5721,970,419,5642,3535,10191,0.986458639008479,0.813070355398812,0.867234945309641,"FALSE","H1975","H1975","SNG"
"H17",34235,2294,43467,6776,1126,297,11260,3996,12948,0.992894654778426,0.822675316015852,0.919214612901905,"FALSE","H2228","H2228","DBL"
"H18",28933,2533,41230,7829,1424,328,2450,4370,13362,0.99311480242994,0.848301151887217,0.859601212691803,"FALSE","H1975","H1975","SNG"
"H19",77910,9278,93701,20734,2588,310,21511,6848,29466,0.996402633205592,0.826647661431261,0.918617756526927,"FALSE","H1975","H1975","SNG"
"H2",60899,6767,70422,17285,1956,536,14686,5869,20630,0.991904992248228,0.842268540551494,0.937032992228312,"FALSE","H2228","H2228","SNG"
"H20",35459,2971,43515,13482,1152,223,2205,4688,14038,0.993802535265848,0.858028208535384,0.88780389813086,"FALSE","HCC827","HCC827","SNG"
"H21",31797,3194,52859,11783,1488,238,1187,5573,19397,0.995050780535624,0.85379182303769,0.873330477223036,"FALSE","HCC827","HCC827","SNG"
"H22",44961,4935,61957,14504,1836,494,15435,5121,18523,0.991416076774056,0.797225071102292,0.89332133384369,"FALSE","H1975","H1975","SNG"
"H23",29899,2954,44929,6602,1839,512,10886,3954,13373,0.988932923809966,0.769535630920859,0.869662102997007,"FALSE","H1975","H1975","SNG"
"H3",49187,3881,85891,11750,2117,393,13145,6419,26516,0.995248151683795,0.840624528269488,0.913976122350233,"FALSE","H2228","H2228","DBL"
"H4",71325,6228,72825,19161,2147,285,16070,5965,22314,0.99515998879844,0.806399569415434,0.914985697326478,"FALSE","H1975","H1975","SNG"
"H5",36684,3319,51446,13673,1257,369,5041,6473,23582,0.993893647275934,0.826647442614432,0.922779695199858,"FALSE","H2228","H2228","DBL"
"H6",52497,5200,74266,8041,2489,329,20271,5301,21779,0.994444188900113,0.785802837235042,0.889572115536932,"FALSE","H1975","H1975","SNG"
"H7",69180,7037,120230,35773,3345,486,5063,7436,35734,0.995998208709913,0.849834890902268,0.876028187152799,"FALSE","HCC827","HCC827","SNG"
"H8",934723,1576,22282,5918,643,183,1216,3898,9790,0.991113379988648,0.84044943734377,0.912256473691038,"FALSE","H2228","H2228","DBL"
"H9",16725,1929,24056,6728,820,329,2196,3154,7801,0.987565695439603,0.819253940752142,0.88757737780108,"FALSE","H1975","H1975","DBL"
"I10",41791,3115,55486,5974,1833,413,6640,5057,17724,0.992157525957934,0.819284585410018,0.86628251733101,"FALSE","H1975","H1975","SNG"
"I11",27806,2973,40196,4692,1400,443,9612,3736,12552,0.989802421136231,0.774537921626404,0.869661512379292,"FALSE","H1975","H1975","SNG"
"I12",46671,3095,46947,7379,1467,462,2576,4705,16448,0.990819551926788,0.837670232953751,0.850923607171931,"FALSE","H1975","H1975","SNG"
"I13",42971,4115,70880,19302,2138,631,1982,5656,21768,0.991455346843323,0.851617052162984,0.84835499432424,"FALSE","HCC827","HCC827","SNG"
"I14",43163,5030,49405,7921,1671,426,10844,4834,16733,0.992350444634943,0.818741408702121,0.883881620820163,"FALSE","H1975","H1975","SNG"
"I15",42128,4695,67300,16137,2363,410,4976,5804,21242,0.992985594109319,0.827276150632108,0.866113894118306,"FALSE","H1975","H1975","SNG"
"I16",36496,3212,45952,5611,1529,555,14785,4389,15687,0.98852553006405,0.788551029012207,0.884362284463387,"FALSE","H2228","H2228","DBL"
"I18",45442,3285,64964,7044,2072,305,16944,4999,21008,0.994478293509864,0.794649656895159,0.866383822170686,"FALSE","HCC827","HCC827","SNG"
"I20",38214,3800,45799,10014,1477,459,3733,4823,16236,0.991254002838597,0.831855136220833,0.840169475135825,"FALSE","H1975","H1975","DBL"
"I21",37081,3916,51699,25503,1489,505,3909,4733,16166,0.991092415569038,0.833292094003902,0.865024826781624,"FALSE","HCC827","HCC827","DBL"
"I22",39169,2441,42924,8147,1251,519,1657,4585,13872,0.988970587522368,0.858852363856075,0.894967636269005,"FALSE","H2228","H2228","DBL"
"I23",21892,2609,28498,4121,983,400,6776,3044,9418,0.98534720642881,0.777872158868261,0.852940270821543,"FALSE","H1975","H1975","SNG"
"I24",40079,3447,76341,12614,2184,498,1312,5799,23093,0.993547827916014,0.853462087709063,0.870739674039893,"FALSE","HCC827","HCC827","SNG"
"I7",29342,2125,42274,6949,1331,369,6935,4262,13690,0.991526661072661,0.831775017653926,0.897369687823457,"FALSE","H2228","H2228","DBL"
"I8",49290,4685,76873,14123,2469,692,1281,5782,23292,0.990769362446003,0.845783959794872,0.862227004024127,"FALSE","HCC827","HCC827","SNG"
"J19",22877,3299,31340,4037,1247,352,12677,2838,10096,0.988015054488892,0.735043580888428,0.856179817571496,"FALSE","H1975","H1975","SNG"
"J2",33356,6752,49776,6347,2062,305,16072,4179,15614,0.992762904449364,0.74727808329238,0.870628365166924,"FALSE","H1975","H1975","SNG"
"J20",13923,1491,21490,6005,719,173,1243,3547,8734,0.991870848417826,0.827913898754392,0.868673152423686,"FALSE","H1975","H1975","DBL"
"J21",18476,1219,27194,2914,939,391,7952,2894,8925,0.986666665561158,0.792268906675329,0.882239907854445,"FALSE","H2228","H2228","DBL"
"J22",33427,2657,43803,4484,1463,464,13227,3594,12871,0.988734363306088,0.770491802680062,0.862636265530056,"FALSE","HCC827","HCC827","SNG"
"J24",18361,1754,37656,7300,1097,294,2030,4238,11866,0.991656833817919,0.849233102267628,0.906876026566639,"FALSE","H2228","H2228","DBL"
"J5",12334,929,18514,4491,681,269,983,3142,7469,0.988217966276318,0.829963849471196,0.870798137905827,"FALSE","HCC827","HCC827","DBL"
"J7",25774,1879,24245,10372,698,259,1465,3253,8297,0.988791128132107,0.840303723224896,0.863202527175452,"FALSE","HCC827","HCC827","SNG"
"J8",18808,1667,32904,7668,1045,276,1364,3542,10517,0.991062089007262,0.841114385432049,0.845677621301111,"FALSE","HCC827","HCC827","DBL"
"K10",76536,7476,104359,19295,2889,517,28576,6146,27488,0.994215657379869,0.830180442072839,0.893080292098264,"FALSE","HCC827","HCC827","SNG"
"K11",223571,11387,143050,21330,4515,498,50433,7328,38629,0.995728597427909,0.799036992725922,0.902793004532086,"FALSE","H1975","H1975","SNG"
"K12",64843,5924,89239,15880,2624,591,15514,6686,28562,0.993137735104986,0.832679784037294,0.909669872673527,"FALSE","H2228","H2228","SNG"
"K13",68966,5284,101076,12720,2624,790,22699,6772,30728,0.99251496973688,0.829764384004893,0.912066873188339,"FALSE","H2228","H2228","SNG"
"K18",38009,3100,49945,13770,1514,331,1015,4866,15993,0.992996935538675,0.857375101070859,0.860938622560731,"FALSE","HCC827","HCC827","SNG"
"K20",112443,7805,143833,17587,3996,428,50876,6691,35666,0.996327033870822,0.809762799077619,0.916615006837042,"FALSE","HCC827","HCC827","SNG"
"K21",36686,3645,51334,13995,1556,498,2700,4845,16885,0.99052413325998,0.84607639866978,0.879655978883045,"FALSE","H1975","H1975","SNG"
"K22",76239,7187,108302,25190,3444,838,2593,7260,33681,0.993171223837424,0.854665835083677,0.86098961996686,"FALSE","H1975","H1975","SNG"
"K23",44437,5136,54205,25287,1447,534,2564,5278,17341,0.989792975612829,0.870249696747448,0.892393234304115,"FALSE","H1975","H1975","SNG"
"K24",126042,8606,118759,27221,3539,635,24541,7080,32892,0.994010701388176,0.818132068339374,0.917973696347532,"FALSE","H1975","H1975","SNG"
